focus,state,year,result,male,female
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Minnesota",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Mississippi",1998,26.7,22.3,24.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Mississippi",1999,27.6,19.6,23.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Mississippi",2000,25.0,22.5,23.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Mississippi",2001,28.7,22.5,25.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Mississippi",2002,32.2,22.6,27.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Mississippi",2003,30.4,21.1,25.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Mississippi",2004,28.5,20.9,24.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Mississippi",2005,25.4,22.0,23.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Mississippi",2006,27.4,22.9,25.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Mississippi",2007,27%,21%,24%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Mississippi",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Missouri",1998,29.3,24.4,26.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Missouri",1999,30.5,24.8,27.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Missouri",2000,30.0,25.5,27.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Missouri",2001,27.3,25.5,26.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Missouri",2002,29.3,24.6,26.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Missouri",2003,31.0,24.7,27.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Missouri",2004,25.9,22.9,24.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Missouri",2005,24.6,22.8,23.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Missouri",2006,24.4,22.8,23.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Missouri",2007,26%,24%,25%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Missouri",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Montana",1998,21.4,22.0,21.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Montana",1999,18.5,22.7,20.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Montana",2000,18.0,20.2,19.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Montana",2001,21.6,22.7,22.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Montana",2002,21.0,21.6,21.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Montana",2003,19.3,21.1,20.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Montana",2004,20.4,20.4,20.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Montana",2005,19.5,19.7,19.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Montana",2006,18.6,20.3,19.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Montana",2007,19%,20%,20%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Montana",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nebraska",1998,25.2,19.7,22.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nebraska",1999,27.4,20.2,23.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nebraska",2000,22.0,21.6,21.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nebraska",2001,20.7,20.8,20.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nebraska",2002,25.9,20.1,22.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nebraska",2003,23.3,19.8,21.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nebraska",2004,22.7,18.2,20.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nebraska",2005,22.9,19.8,21.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nebraska",2006,19.6,18.4,19.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nebraska",2007,23%,17%,20%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nebraska",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nevada",1998,32.5,28.6,30.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nevada",1999,32.4,30.4,31.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nevada",2000,28.5,29.5,29.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nevada",2001,27.5,26.1,26.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nevada",2002,28.1,23.3,25.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nevada",2003,28.6,21.2,24.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nevada",2004,24.1,21.9,23.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nevada",2005,24.9,20.6,22.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nevada",2006,22.6,21.3,21.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nevada",2007,23%,19%,21%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Nevada",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Hampshire",1998,25.2,21.2,23.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Hampshire",1999,21.3,23.5,22.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Hampshire",2000,26.3,24.1,25.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Hampshire",2001,25.0,23.0,24.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Hampshire",2002,23.6,23.0,23.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Hampshire",2003,22.3,20.6,21.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Hampshire",2004,23.9,20.1,22.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Hampshire",2005,20.2,21.4,20.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Hampshire",2006,19.4,18.7,19.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Hampshire",2007,20%,19%,20%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Hampshire",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Jersey",1998,20.7,18.3,19.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Jersey",1999,21.9,20.1,21.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Jersey",2000,23.3,19.0,21.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Jersey",2001,21.6,21.6,21.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Jersey",2002,20.0,18.2,19.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Jersey",2003,21.0,18.4,19.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Jersey",2004,20.0,18.2,19.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Jersey",2005,19.5,17.1,18.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Jersey",2006,20.8,15.8,18.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Jersey",2007,19%,15%,17%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Jersey",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Mexico",1998,24.8,20.4,22.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Mexico",1999,23.7,21.1,22.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Mexico",2000,25.5,21.3,23.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Mexico",2001,27.4,20.2,23.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Mexico",2002,22.7,19.3,21.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Mexico",2003,23.3,20.8,22.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Mexico",2004,22.6,18.1,20.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Mexico",2005,23.9,19.0,21.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Mexico",2006,22.3,17.9,20.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Mexico",2007,24%,18%,21%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New Mexico",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New York",1998,25.7,23.7,24.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New York",1999,22.5,21.9,22.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New York",2000,22.2,21.6,21.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New York",2001,25.8,21.7,23.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New York",2002,25.5,19.7,22.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New York",2003,24.3,19.3,21.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New York",2004,20.9,19.3,20.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New York",2005,22.7,18.6,20.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New York",2006,18.8,18.0,18.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New York",2007,21%,17%,19%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","New York",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Carolina",1998,27.1,22.7,24.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Carolina",1999,27.2,23.5,25.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Carolina",2000,27.7,24.5,26.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Carolina",2001,28.0,23.8,25.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Carolina",2002,29.9,22.6,26.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Carolina",2003,27.4,22.2,24.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Carolina",2004,26.0,20.3,23.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Carolina",2005,25.0,20.2,22.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Carolina",2006,24.7,19.3,22.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Carolina",2007,25%,21%,23%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Carolina",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Dakota",1998,21.9,19.2,20.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Dakota",1999,23.3,22.0,22.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Dakota",2000,25.6,21.5,23.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Dakota",2001,24.5,20.4,22.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Dakota",2002,22.9,20.9,21.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Dakota",2003,22.4,20.4,21.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Dakota",2004,23.7,16.5,20.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Dakota",2005,21.3,19.3,20.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Dakota",2006,20.8,19.0,19.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Dakota",2007,22%,20%,21%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","North Dakota",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Ohio",1998,29.5,23.5,26.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Ohio",1999,29.1,27.0,28.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Ohio",2000,26.4,26.9,26.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Ohio",2001,28.6,27.3,28.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Ohio",2002,28.1,25.7,26.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Ohio",2003,26.7,24.8,25.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Ohio",2004,26.9,25.5,26.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Ohio",2005,21.6,23.6,22.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Ohio",2006,24.9,21.0,23.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Ohio",2007,24%,23%,23%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Ohio",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oklahoma",1998,26.6,21.7,24.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oklahoma",1999,26.6,24.9,25.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oklahoma",2000,23.6,23.8,23.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oklahoma",2001,30.8,27.4,29.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oklahoma",2002,29.2,24.4,26.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oklahoma",2003,27.3,23.5,25.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oklahoma",2004,27.8,24.8,26.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oklahoma",2005,26.0,24.4,25.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oklahoma",2006,27.5,23.0,25.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oklahoma",2007,28%,24%,26%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oklahoma",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oregon",1998,21.6,21.2,21.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oregon",1999,22.9,20.8,21.8
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oregon",2000,22.2,20.0,21.0
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oregon",2001,21.5,20.2,20.9
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oregon",2002,24.2,20.6,22.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oregon",2003,22.8,19.2,21.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oregon",2004,21.7,18.6,20.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oregon",2005,20.3,16.9,18.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oregon",2006,19.6,17.7,18.6
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oregon",2007,19%,15%,17%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Oregon",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Pennsylvania",1998,23.7,24.8,24.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Pennsylvania",1999,24.4,23.7,24.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2000,25.6,24.7,25.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2001,26.5,24.1,25.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2002,26.4,24.4,25.4
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2003,27.2,25.5,26.3
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2004,23.3,23.7,23.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2005,25.2,23.7,24.5
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2006,22.5,21.8,22.2
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2007,21%,22%,22%
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2008,,,
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Rhode Island",1998,23.9,22.4,23.1
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Rhode Island",1999,23.1,22.4,22.7
"27-1a Cigarette smoking - Adults (age adjusted, aged 18 years and over)","Rhode Island",2000,23.5,24.1,23.9
