Focus area: 27-Tobacco Use - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw   data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 footnote,2006 data,raw   data,se   data,2007 footnote,2007 data,raw   data,se   data,2008 data,2008 raw value,2008 se
                    Persons aged 18 to 24 years (not age adjusted),1,11%,10.7,2.6,1,18%,18.4,5.1,1,DSU,22.4,7.3,1,28%,28.2,3.2,1,30%,29.8,4.3,1,26%,26.1,5.1,1,22%,21.7,4.9,1,25%,25.5,5.5,1,22%,21.9,5.7,1,36%,36.4,7.0,---,.,.
                    Persons aged 25 to 44 years (not age adjusted),1,27%,26.9,2.3,1,19%,18.8,2.2,1,19%,19.2,2.2,1,25%,25.1,1.9,1,25%,25.4,2.4,1,23%,22.6,2.0,1,22%,21.6,1.9,1,23%,23.2,2.1,1,18%,18.4,1.9,1,20%,19.6,2.2,---,.,.
                    Persons aged 45 to 64 years (not age adjusted),1,28%,28.0,2.8,1,26%,26.3,2.7,1,24%,23.5,3.4,1,22%,21.8,1.8,1,26%,26.3,2.2,1,24%,23.6,1.9,1,20%,19.8,1.7,1,21%,20.6,1.7,1,21%,20.7,1.8,1,21%,21.0,1.7,---,.,.
                    Persons aged 65 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),1,9%,9.1,1.7,1,15%,14.5,2.5,1,7%,6.8,1.4,1,9%,8.7,1.4,1,10%,9.7,1.4,1,10%,9.5,1.5,1,8%,7.9,1.1,1,10%,10.2,1.2,1,11%,10.6,1.3,1,10%,10.1,1.3,---,.,.
              STATE:Arkansas,1,27%,26.8,1.0,1,28%,28.0,0.9,1,26%,26.0,0.9,1,26%,26.2,0.9,1,27%,26.7,0.9,1,25%,25.5,0.8,1,26%,26.1,0.9,1,24%,23.8,0.8,1,24%,24.1,0.8,1,23%,22.6,0.8,---,.,.
                 American Indian or Alaska Native only,"2,1",DSU,42.2,7.8,"2,1",DSU,46.2,5.8,"2,1",DSU,26.7,6.6,1,DSU,47.1,7.8,1,43%,43.4,6.4,1,46%,46.0,6.4,1,39%,38.7,7.2,1,31%,30.5,6.8,1,28%,28.3,5.2,1,24%,23.9,5.1,---,.,.
                 Asian or Pacific Islander only,"2,1",DSU,23.8,7.9,"2,1",DSU,32.8,10.0,"2,1",DSU,12.1,5.3,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,22.5,11.0,1,DSU,18.4,7.9,1,DSU,30.2,6.6,1,DSU,12.0,6.8,1,DSU,5.1,3.6,1,DSU,9.7,4.9,1,DSU,0.0,0.0,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,23.5,19.9,1,DSU,39.6,24.4,1,DSU,21.1,0.0,1,DSU,41.4,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,---,.,.
                 Black or African American only,"2,1",24%,24.0,2.5,"2,1",21%,21.0,2.7,"2,1",23%,22.7,2.4,1,21%,21.0,2.4,1,21%,21.5,2.3,1,25%,24.5,2.4,1,20%,20.3,2.4,1,16%,15.8,2.1,1,22%,21.9,2.3,1,21%,21.0,2.3,---,.,.
                 White only,"2,1",27%,27.3,1.1,"2,1",29%,28.6,1.0,"2,1",27%,26.7,1.0,1,27%,26.8,1.0,1,27%,27.0,1.0,1,25%,25.3,0.9,1,26%,25.9,0.9,1,24%,24.3,0.8,1,24%,24.0,0.8,1,23%,22.8,0.9,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,29.9,5.2,1,34%,33.9,5.9,1,40%,39.9,5.9,1,37%,37.0,5.2,1,37%,36.7,5.5,1,42%,41.9,4.9,1,32%,31.7,6.1,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,30.0,6.4,1,37%,36.7,6.5,1,39%,39.2,6.3,1,43%,42.9,5.8,1,31%,30.8,5.1,1,42%,41.9,5.5,1,42%,41.7,6.0,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,38.3,0.0,1,DSU,22.1,17.9,1,DSU,11.3,7.7,1,DSU,0.0,0.0,1,DSU,37.3,9.6,1,DSU,8.5,6.0,1,DSU,18.7,9.7,---,.,.
                 Hispanic or Latino,1,25%,24.5,5.7,1,31%,31.4,6.3,1,DSU,14.3,4.6,1,17%,17.4,4.3,1,26%,25.6,5.4,1,24%,23.5,4.5,1,26%,26.1,5.1,1,24%,23.6,3.8,1,23%,23.4,3.7,1,21%,21.1,4.0,---,.,.
                 Not Hispanic or Latino,1,27%,26.8,1.0,1,28%,27.7,0.9,1,26%,26.2,0.9,1,27%,26.5,1.0,1,27%,26.7,0.9,1,26%,25.6,0.8,1,26%,26.0,0.9,1,24%,23.9,0.8,1,24%,24.4,0.8,1,23%,22.8,0.8,---,.,.
"                    Black or African American only, not Hisp/Latino","2,1",24%,24.1,2.5,"2,1",20%,20.0,2.7,"2,1",23%,22.8,2.4,1,21%,20.6,2.5,1,22%,22.0,2.4,1,25%,24.7,2.5,1,20%,20.2,2.5,1,15%,15.4,2.1,1,23%,22.5,2.3,1,21%,20.6,2.3,---,.,.
"                    White only, not Hispanic or Latino","2,1",27%,27.4,1.1,"2,1",28%,28.5,1.0,"2,1",27%,27.0,1.0,1,27%,27.1,1.1,1,27%,27.0,1.0,1,25%,25.3,0.9,1,26%,25.8,0.9,1,24%,24.5,0.9,1,24%,23.9,0.8,1,23%,23.1,0.9,---,.,.
                 Female,1,25%,24.8,1.2,1,26%,26.2,1.2,1,26%,25.5,1.2,1,25%,25.1,1.2,1,25%,24.9,1.0,1,23%,23.4,1.0,1,24%,24.3,1.1,1,23%,22.6,0.9,1,23%,22.5,0.9,1,21%,20.7,0.9,---,.,.
                 Male,1,29%,28.9,1.5,1,30%,29.8,1.5,1,26%,26.5,1.4,1,27%,27.5,1.5,1,28%,28.4,1.4,1,28%,27.6,1.3,1,28%,28.0,1.3,1,25%,24.9,1.2,1,26%,25.8,1.2,1,24%,24.5,1.2,---,.,.
                 Less than high school,1,44%,44.2,3.0,1,42%,41.9,3.1,1,43%,43.1,3.3,1,37%,37.2,3.2,1,45%,44.5,3.0,1,43%,43.2,2.9,1,41%,41.4,2.9,1,38%,38.3,2.8,1,43%,43.3,2.8,1,39%,39.5,2.7,---,.,.
                    Less than 9th grade,1,57%,57.0,6.0,1,57%,56.7,4.8,1,41%,41.3,8.0,1,33%,32.6,7.4,1,48%,47.9,6.7,1,39%,39.3,7.1,1,40%,40.0,6.7,1,32%,32.0,6.2,1,34%,34.4,4.6,1,27%,27.2,4.2,---,.,.
                    Grades 9 through 11,1,41%,40.9,3.3,1,39%,38.7,3.3,1,44%,43.6,3.7,1,38%,38.1,3.5,1,44%,44.4,3.3,1,45%,44.7,3.2,1,43%,42.9,3.3,1,39%,39.3,3.2,1,46%,46.5,3.1,1,44%,43.9,3.2,---,.,.
                 High school graduate,1,28%,28.1,1.6,1,32%,31.8,1.6,1,28%,28.2,1.6,1,29%,29.1,1.7,1,31%,30.8,1.5,1,33%,32.6,1.5,1,30%,30.2,1.4,1,27%,27.5,1.3,1,30%,29.6,1.4,1,29%,28.6,1.4,---,.,.
                 At least some college,1,21%,20.7,1.3,1,20%,19.7,1.2,1,20%,20.5,1.2,1,19%,19.2,1.1,1,19%,18.5,1.1,1,18%,17.8,1.0,1,18%,18.2,1.0,1,16%,16.4,0.8,1,17%,16.8,0.8,1,15%,15.5,0.8,---,.,.
                    College graduate and above,1,13%,12.9,1.5,1,13%,13.3,1.5,1,14%,14.0,1.5,1,12%,11.8,1.3,1,11%,11.4,1.2,1,12%,12.0,1.0,1,11%,11.1,1.2,1,11%,10.8,0.9,1,10%,10.1,0.9,1,9%,9.4,0.8,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,33%,32.6,2.5,,DNC,.,.,1,35%,34.9,2.0,1,32%,31.9,2.5,1,34%,34.4,2.1,1,33%,32.6,2.1,1,35%,35.3,2.1,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,24.2,1.0,,DNC,.,.,1,23%,23.0,0.9,1,24%,24.2,0.9,1,21%,21.4,0.8,1,22%,21.9,0.8,1,19%,19.1,0.8,---,.,.
                    Persons with diabetes,1,16%,16.1,3.6,1,33%,32.6,4.2,1,17%,17.4,4.8,1,31%,31.1,6.0,1,34%,34.1,3.7,1,19%,19.1,3.5,1,21%,20.9,4.2,1,19%,19.2,3.4,1,33%,33.2,3.1,1,30%,29.6,3.6,---,.,.
                    Persons without diabetes,1,27%,27.1,1.0,1,28%,28.2,1.0,1,26%,26.5,1.0,1,26%,26.0,1.0,1,27%,26.9,0.9,1,26%,25.8,0.8,1,26%,26.4,0.9,1,24%,23.9,0.8,1,24%,24.3,0.8,1,22%,22.4,0.8,---,.,.
                    Persons aged 18 to 24 years (not age adjusted),1,30%,30.4,3.4,1,38%,37.7,3.5,1,31%,30.6,3.4,1,35%,34.6,3.4,1,33%,33.4,3.4,1,24%,24.1,2.8,1,35%,34.7,3.6,1,31%,30.6,3.3,1,27%,26.8,3.2,1,25%,25.2,3.6,---,.,.
                    Persons aged 25 to 44 years (not age adjusted),1,32%,32.0,1.6,1,32%,31.6,1.6,1,31%,31.5,1.6,1,30%,29.9,1.6,1,31%,31.1,1.5,1,32%,31.5,1.5,1,31%,30.9,1.5,1,27%,26.9,1.3,1,29%,28.6,1.3,1,24%,24.4,1.3,---,.,.
                    Persons aged 45 to 64 years (not age adjusted),1,27%,26.7,1.6,1,27%,27.4,1.6,1,26%,25.6,1.5,1,26%,26.3,1.6,1,27%,26.7,1.3,1,27%,26.7,1.2,1,26%,25.5,1.2,1,25%,24.6,1.1,1,25%,25.2,1.1,1,26%,25.9,1.0,---,.,.
                    Persons aged 65 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),1,12%,12.0,1.4,1,13%,13.0,1.5,1,10%,9.8,1.3,1,11%,11.1,1.4,1,11%,11.1,1.1,1,10%,10.1,1.0,1,9%,9.3,1.0,1,10%,9.9,0.9,1,10%,9.8,0.8,1,11%,10.7,0.8,---,.,.
              STATE:California,1,19%,19.1,0.7,1,19%,18.5,0.7,1,17%,16.9,0.7,1,17%,17.1,0.7,1,16%,16.3,0.7,1,17%,16.6,0.7,1,15%,14.5,0.7,1,15%,14.9,0.6,1,15%,14.6,0.6,1,14%,14.1,0.7,---,.,.
                 American Indian or Alaska Native only,"2,1",DSU,14.5,4.8,"2,1",DSU,16.6,6.0,"2,1",DSU,35.9,4.6,1,21%,21.3,4.8,1,34%,34.2,6.6,1,18%,18.3,4.1,1,16%,16.1,3.4,1,27%,27.2,5.3,1,13%,13.5,3.1,1,20%,19.6,4.1,---,.,.
                 Asian or Pacific Islander only,"2,1",10%,10.4,2.1,"2,1",14%,13.6,2.4,"2,1",10%,10.0,1.9,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,11%,11.5,2.4,1,9%,8.5,2.0,1,12%,11.6,2.4,1,7%,7.0,1.9,1,11%,10.9,2.2,1,11%,10.8,2.4,1,9%,8.7,1.7,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,17.6,6.9,1,DSU,30.0,9.3,1,26%,25.7,6.5,1,DSU,20.8,5.1,1,DSU,26.5,7.3,1,DSU,14.4,5.2,1,DSU,21.2,5.9,---,.,.
                 Black or African American only,"2,1",22%,22.2,3.0,"2,1",24%,23.5,2.5,"2,1",19%,19.3,2.8,1,22%,21.5,3.0,1,19%,18.6,3.1,1,28%,28.5,3.4,1,17%,17.1,2.7,1,18%,18.2,3.1,1,12%,11.5,2.2,1,24%,24.1,3.8,---,.,.
                 White only,"2,1",19%,19.3,0.8,"2,1",18%,18.3,0.7,"2,1",17%,17.1,0.8,1,17%,17.0,0.8,1,16%,16.2,0.8,1,15%,15.3,0.7,1,15%,14.8,0.8,1,14%,14.3,0.7,1,15%,15.0,0.8,1,14%,13.7,0.7,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,23%,22.5,3.9,1,25%,25.1,4.8,1,28%,27.6,4.6,1,14%,13.6,3.9,1,17%,16.6,3.3,1,15%,15.4,2.4,1,14%,13.9,2.4,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,37%,36.7,6.6,1,34%,34.3,7.0,1,27%,27.1,5.0,1,DSU,18.4,4.8,1,25%,25.2,5.0,1,27%,27.0,5.2,1,DSU,14.0,5.4,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,20.2,8.2,1,DSU,25.2,8.9,1,DSU,33.1,8.5,1,DSU,5.9,5.8,1,DSU,13.2,6.5,1,DSU,23.1,8.6,1,DSU,12.9,0.0,---,.,.
                 Hispanic or Latino,1,19%,18.8,1.7,1,15%,15.2,1.3,1,16%,16.1,1.6,1,15%,15.1,1.4,1,15%,15.3,1.7,1,14%,14.4,1.5,1,12%,12.2,1.2,1,14%,14.1,1.3,1,13%,13.2,1.2,1,13%,13.2,1.2,---,.,.
                 Not Hispanic or Latino,1,20%,19.8,0.8,1,20%,20.2,0.8,1,17%,17.5,0.8,1,18%,18.2,0.8,1,17%,16.6,0.8,1,18%,18.1,0.8,1,16%,16.2,0.8,1,16%,15.7,0.8,1,16%,16.3,0.8,1,15%,14.9,0.9,---,.,.
"                    Black or African American only, not Hisp/Latino","2,1",21%,21.3,2.9,"2,1",26%,26.0,2.9,"2,1",20%,20.2,3.0,1,22%,21.8,3.1,1,18%,17.7,3.2,1,29%,29.4,3.6,1,21%,20.6,3.5,1,15%,15.3,2.5,1,12%,11.9,2.0,1,23%,23.3,4.2,---,.,.
"                    White only, not Hispanic or Latino","2,1",21%,21.0,0.9,"2,1",20%,20.4,0.9,"2,1",18%,17.7,0.9,1,18%,18.2,0.9,1,17%,17.5,1.0,1,17%,17.0,0.9,1,17%,16.8,0.9,1,16%,15.9,0.9,1,16%,16.3,0.9,1,15%,14.6,0.9,---,.,.
                 Female,1,17%,16.6,0.9,1,16%,15.7,0.8,1,14%,14.5,0.8,1,14%,14.0,0.8,1,13%,13.4,0.9,1,13%,13.2,0.8,1,11%,11.2,0.7,1,11%,11.3,0.6,1,11%,11.4,0.7,1,11%,10.6,0.7,---,.,.
                 Male,1,21%,21.4,1.1,1,21%,21.2,1.1,1,19%,19.3,1.2,1,20%,19.9,1.1,1,19%,19.0,1.1,1,20%,19.8,1.1,1,18%,17.7,1.1,1,18%,18.5,1.1,1,18%,17.9,1.1,1,17%,17.5,1.1,---,.,.
                 Less than high school,1,23%,23.0,2.3,1,18%,18.4,1.9,1,19%,18.7,2.3,1,22%,21.5,2.2,1,17%,17.4,2.2,1,16%,16.3,2.0,1,15%,15.1,1.8,1,17%,16.7,1.9,1,18%,18.0,1.9,1,16%,15.6,1.7,---,.,.
                    Less than 9th grade,1,16%,16.1,2.8,1,13%,12.9,2.2,1,14%,13.7,3.3,1,15%,14.9,2.6,1,8%,8.0,1.8,1,12%,12.1,2.4,1,10%,10.4,2.0,1,13%,13.1,2.4,1,11%,10.9,2.0,1,14%,14.4,2.3,---,.,.
                    Grades 9 through 11,1,33%,32.8,3.7,1,27%,26.5,3.2,1,25%,25.4,3.2,1,30%,30.0,3.5,1,31%,31.1,4.2,1,22%,22.2,3.3,1,22%,21.7,3.1,1,22%,22.0,2.8,1,29%,29.3,3.4,1,17%,16.7,2.5,---,.,.
                 High school graduate,1,25%,24.5,1.6,1,24%,24.0,1.6,1,23%,22.8,1.7,1,22%,21.7,1.7,1,23%,23.0,1.8,1,23%,23.2,1.8,1,21%,21.0,1.6,1,19%,18.7,1.5,1,19%,19.2,1.5,1,21%,20.8,1.7,---,.,.
                 At least some college,1,15%,14.6,0.8,1,15%,15.0,0.8,1,14%,13.5,0.8,1,13%,12.9,0.8,1,14%,13.5,0.8,1,13%,12.7,0.8,1,11%,11.2,0.7,1,12%,12.1,0.7,1,11%,11.2,0.7,1,11%,11.1,0.7,---,.,.
                    College graduate and above,1,10%,10.2,1.0,1,12%,11.7,1.0,1,9%,9.4,0.9,1,9%,9.2,1.0,1,9%,8.7,0.8,1,9%,8.7,0.8,1,7%,7.4,0.7,1,8%,8.1,0.8,1,9%,8.7,0.8,1,8%,8.2,0.8,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,21.8,1.9,1,21%,21.0,2.0,1,23%,23.4,1.9,1,22%,21.9,2.2,1,22%,21.8,2.1,1,21%,20.9,1.8,1,17%,17.5,2.0,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,16%,15.6,0.7,1,15%,15.4,0.8,1,15%,15.4,0.8,1,14%,13.5,0.7,1,13%,13.5,0.7,1,13%,13.4,0.7,1,13%,13.0,0.7,---,.,.
                    Persons with diabetes,1,25%,24.6,4.4,1,16%,15.6,3.6,1,27%,26.7,5.9,1,10%,9.7,2.0,1,21%,21.0,5.6,1,16%,16.4,2.8,1,21%,20.5,4.5,1,15%,15.2,3.5,1,19%,19.2,5.4,1,9%,8.7,1.7,---,.,.
                    Persons without diabetes,1,19%,18.9,0.7,1,19%,18.9,0.7,1,17%,16.6,0.7,1,17%,17.3,0.7,1,16%,16.4,0.8,1,17%,16.5,0.7,1,14%,14.3,0.7,1,15%,15.0,0.7,1,15%,14.8,0.7,1,14%,14.2,0.7,---,.,.
                    Persons aged 18 to 24 years (not age adjusted),1,25%,24.8,2.5,1,25%,24.6,2.2,1,19%,19.3,2.2,1,22%,22.2,2.4,1,17%,16.6,2.3,1,23%,22.7,2.5,1,18%,18.4,2.6,1,20%,19.7,2.6,1,19%,18.6,2.7,1,15%,15.4,2.6,---,.,.
                    Persons aged 25 to 44 years (not age adjusted),1,21%,20.5,1.1,1,20%,20.5,1.0,1,21%,20.5,1.2,1,19%,18.8,1.1,1,20%,19.8,1.2,1,18%,17.6,1.1,1,16%,16.3,1.0,1,16%,16.3,1.0,1,15%,15.2,1.0,1,17%,16.6,1.2,---,.,.
                    Persons aged 45 to 64 years (not age adjusted),1,19%,19.4,1.3,1,19%,19.1,1.3,1,17%,17.0,1.3,1,17%,17.4,1.3,1,15%,14.8,1.2,1,18%,17.6,1.2,1,15%,15.2,1.2,1,15%,15.5,1.1,1,17%,16.7,1.1,1,14%,14.3,1.0,---,.,.
                    Persons aged 65 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),1,11%,10.6,1.4,1,8%,8.3,1.2,1,7%,6.7,1.1,1,8%,8.4,1.1,1,10%,9.9,1.6,1,8%,7.7,1.2,1,6%,6.3,1.0,1,7%,7.2,1.0,1,7%,7.0,0.9,1,7%,7.2,0.8,---,.,.
              STATE:Colorado,1,23%,22.5,1.1,1,22%,22.1,1.1,1,20%,19.7,1.0,1,22%,22.3,1.0,1,20%,19.8,0.7,1,18%,18.2,0.7,1,20%,19.7,0.7,1,19%,19.3,0.6,1,17%,17.4,0.6,1,18%,18.3,0.5,---,.,.
                 American Indian or Alaska Native only,"2,1",DSU,42.6,9.0,"2,1",DSU,26.1,7.8,"2,1",DSU,31.0,8.6,1,DSU,50.4,7.9,1,28%,27.8,7.1,1,31%,30.7,5.5,1,29%,28.7,5.6,1,31%,31.4,5.9,1,28%,27.9,4.4,1,26%,25.9,4.0,---,.,.
                 Asian or Pacific Islander only,"2,1",DSU,17.6,4.8,"2,1",DSU,8.5,4.0,"2,1",DSU,5.9,3.6,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,7.8,5.2,1,DSU,10.0,4.8,1,DSU,11.9,5.1,1,DSU,9.1,5.0,1,DSU,16.2,4.9,1,DSU,10.5,4.2,1,DSU,12.4,3.6,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,28.0,0.0,1,DSU,10.3,4.3,1,DSU,24.8,10.2,1,DSU,0.0,0.0,1,DSU,31.9,12.3,1,DSU,25.6,14.7,1,DSU,19.5,6.5,---,.,.
                 Black or African American only,"2,1",38%,37.6,6.3,"2,1",DSU,45.2,6.2,"2,1",DSU,18.4,5.2,1,26%,25.9,5.7,1,21%,20.9,4.7,1,22%,21.5,4.8,1,17%,16.9,3.5,1,19%,19.3,3.7,1,20%,20.5,4.0,1,24%,24.3,3.3,---,.,.
                 White only,"2,1",22%,22.0,1.2,"2,1",23%,22.6,1.1,"2,1",20%,19.8,1.0,1,22%,22.3,1.1,1,20%,19.5,0.8,1,18%,17.8,0.8,1,19%,18.9,0.8,1,19%,19.3,0.7,1,16%,16.4,0.6,1,17%,17.5,0.5,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,33.0,7.5,1,21%,20.6,4.4,1,19%,18.7,4.3,1,DSU,21.6,5.1,1,27%,26.7,5.0,1,40%,40.0,5.7,1,22%,22.1,3.7,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,38.3,8.5,1,DSU,29.5,8.0,1,DSU,16.2,6.6,1,DSU,30.1,7.4,1,DSU,27.9,6.3,1,DSU,43.5,7.3,1,30%,30.4,3.5,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,28.1,9.4,1,DSU,0.0,0.0,1,DSU,11.9,11.6,1,DSU,24.0,10.6,1,DSU,14.1,7.9,1,DSU,12.9,10.4,1,DSU,13.1,9.2,---,.,.
                 Hispanic or Latino,1,28%,27.9,3.3,1,20%,19.7,2.7,1,23%,22.6,2.8,1,21%,21.3,2.8,1,23%,22.7,2.2,1,20%,20.0,2.0,1,24%,23.8,2.2,1,19%,19.1,1.7,1,19%,18.8,1.6,1,22%,21.9,1.3,---,.,.
                 Not Hispanic or Latino,1,21%,21.2,1.2,1,23%,22.6,1.1,1,19%,19.3,1.1,1,23%,22.9,1.1,1,20%,19.6,0.8,1,18%,18.0,0.8,1,19%,19.2,0.8,1,20%,19.9,0.7,1,17%,17.3,0.7,1,18%,17.6,0.5,---,.,.
"                    Black or African American only, not Hisp/Latino","2,1",39%,38.7,6.4,"2,1",DSU,50.7,6.9,"2,1",DSU,17.3,5.1,1,25%,24.9,5.9,1,21%,21.5,4.8,1,22%,22.3,5.0,1,15%,15.4,3.3,1,21%,20.8,3.9,1,21%,20.8,4.4,1,24%,23.6,3.4,---,.,.
"                    White only, not Hispanic or Latino","2,1",20%,20.3,1.2,"2,1",23%,22.6,1.2,"2,1",19%,19.4,1.1,1,23%,22.5,1.2,1,19%,19.3,0.8,1,18%,17.8,0.8,1,19%,19.0,0.8,1,20%,19.8,0.7,1,17%,16.5,0.7,1,17%,17.1,0.5,---,.,.
                 Female,1,19%,19.4,1.3,1,22%,22.0,1.4,1,21%,20.6,1.4,1,21%,21.3,1.3,1,19%,19.2,0.9,1,17%,17.4,0.9,1,18%,17.7,0.9,1,18%,18.0,0.8,1,16%,16.3,0.8,1,18%,17.5,0.6,---,.,.
                 Male,1,26%,25.9,1.8,1,22%,22.1,1.6,1,19%,18.8,1.4,1,23%,23.2,1.6,1,20%,20.2,1.1,1,19%,19.0,1.1,1,21%,21.3,1.2,1,21%,20.5,1.0,1,18%,18.3,1.0,1,19%,19.0,0.8,---,.,.
                 Less than high school,1,32%,31.6,4.3,1,39%,39.2,4.6,1,33%,33.3,4.7,1,27%,26.7,4.0,1,34%,33.7,3.5,1,35%,34.5,3.7,1,36%,36.0,3.8,1,31%,31.0,2.9,1,30%,29.8,2.8,1,31%,31.1,2.1,---,.,.
                    Less than 9th grade,1,DSU,27.5,6.9,1,DSU,14.2,5.6,1,DSU,15.8,5.5,1,30%,29.9,6.9,1,22%,22.0,4.7,1,24%,23.8,5.7,1,30%,30.2,5.6,1,23%,23.3,4.1,1,15%,15.2,3.6,1,23%,23.1,3.1,---,.,.
                    Grades 9 through 11,1,34%,33.7,5.4,1,51%,50.6,5.2,1,45%,45.0,6.3,1,26%,25.6,5.0,1,42%,42.3,4.4,1,44%,44.0,4.8,1,41%,40.6,4.6,1,36%,36.5,3.9,1,41%,41.4,3.7,1,37%,37.1,2.8,---,.,.
                 High school graduate,1,27%,27.4,2.3,1,27%,26.9,2.2,1,26%,26.1,2.3,1,27%,27.0,2.4,1,28%,27.8,1.7,1,24%,23.8,1.6,1,27%,27.3,1.6,1,27%,27.1,1.4,1,24%,23.9,1.4,1,25%,25.3,1.1,---,.,.
                 At least some college,1,18%,17.5,1.2,1,16%,16.2,1.1,1,14%,14.1,1.0,1,17%,16.8,1.1,1,15%,14.5,0.8,1,14%,13.9,0.7,1,13%,13.0,0.8,1,14%,14.2,0.6,1,12%,12.4,0.6,1,12%,12.3,0.4,---,.,.
                    College graduate and above,1,13%,13.2,1.6,1,9%,9.1,1.1,1,10%,9.5,1.1,1,13%,12.7,1.3,1,11%,10.7,0.8,1,9%,8.7,0.8,1,8%,8.0,0.8,1,10%,9.8,0.7,1,8%,8.3,0.6,1,8%,7.9,0.4,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,32%,32.2,2.8,,DNC,.,.,1,26%,25.9,2.0,1,29%,28.6,2.7,1,28%,28.3,1.9,1,22%,22.1,1.9,1,26%,26.2,1.6,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,21%,20.8,1.1,,DNC,.,.,1,17%,16.7,0.8,1,19%,18.6,0.8,1,18%,17.9,0.7,1,17%,16.6,0.7,1,17%,17.1,0.5,---,.,.
                    Persons with diabetes,1,DSU,9.6,3.4,1,DSU,8.5,3.7,1,DSU,15.1,6.0,1,31%,30.6,5.0,1,33%,32.6,4.2,1,18%,18.4,4.1,1,13%,12.6,2.8,1,21%,21.4,5.4,1,15%,15.4,3.2,1,19%,18.7,3.6,---,.,.
                    Persons without diabetes,1,23%,22.9,1.2,1,23%,22.5,1.1,1,20%,20.0,1.0,1,22%,22.4,1.0,1,20%,19.8,0.7,1,18%,18.1,0.7,1,20%,19.7,0.8,1,19%,19.4,0.6,1,17%,17.3,0.6,1,18%,18.3,0.5,---,.,.
                    Persons aged 18 to 24 years (not age adjusted),1,30%,30.1,4.9,1,31%,30.7,4.3,1,28%,28.2,3.9,1,37%,37.3,3.9,1,26%,26.1,2.7,1,23%,22.5,2.7,1,29%,29.1,3.0,1,26%,26.0,2.7,1,26%,26.2,3.0,1,27%,27.5,2.4,---,.,.
