Focus area: 19-Nutrition and Overweight - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw  data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
               Persons with high blood pressure,,DNC,.,.,1,30%,29.9,4.9,,DNC,.,.,1,24%,24.2,2.6,,DNC,.,.,1,25%,24.6,3.2,,DNC,.,.,1,DNC,30.3,3.6,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,44%,44.4,1.9,,DNC,.,.,1,42%,41.6,1.4,,DNC,.,.,1,40%,39.8,1.5,,DNC,.,.,1,DNC,41.7,1.6,---,.,.,---,.,.,---,.,.
            STATE:Arkansas,1,39%,39.3,1.1,1,37%,36.9,1.0,1,36%,36.3,1.0,1,36%,35.5,1.0,1,35%,35.2,0.9,1,34%,33.8,0.9,1,34%,34.0,0.9,1,32%,32.3,0.8,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",DSU,37.1,8.5,"1,2",DSU,31.0,7.6,"1,2",DSU,34.1,8.4,1,DSU,36.2,8.4,1,29%,29.1,6.9,1,45%,44.7,8.2,1,26%,26.0,6.1,1,26%,26.2,6.9,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,80.3,9.5,1,DSU,64.1,5.6,1,DSU,65.5,11.5,1,DSU,59.6,16.2,1,DSU,47.5,10.4,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,30.9,22.3,1,DSU,4.0,5.2,1,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",28%,28.1,2.8,"1,2",23%,23.4,2.8,"1,2",21%,20.5,2.4,1,25%,24.9,2.9,1,25%,25.4,2.6,1,29%,29.4,2.8,1,24%,24.1,2.7,1,25%,25.1,2.5,---,.,.,---,.,.,---,.,.
               White only,"1,2",41%,40.6,1.2,"1,2",38%,38.5,1.1,"1,2",38%,38.1,1.1,1,37%,37.2,1.1,1,36%,36.5,1.0,1,34%,34.0,0.9,1,35%,35.5,1.0,1,34%,33.7,0.9,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,28.8,6.2,1,32%,31.9,5.6,1,31%,31.3,5.7,1,32%,32.1,5.5,1,27%,26.6,5.8,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,26.2,6.6,1,31%,31.2,6.1,1,30%,29.5,6.0,1,38%,37.7,6.0,1,25%,25.2,6.9,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,39.2,14.4,1,DSU,26.9,21.8,1,DSU,54.9,14.7,1,DSU,8.1,8.7,1,DSU,20.0,12.1,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,42%,41.8,7.6,1,42%,42.0,7.0,1,31%,31.1,6.6,1,32%,32.1,6.8,1,40%,39.8,5.9,1,46%,46.4,6.0,1,29%,29.1,5.4,1,28%,28.2,4.1,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,39%,39.2,1.1,1,37%,36.9,1.0,1,36%,36.4,1.0,1,36%,35.6,1.0,1,35%,35.0,0.9,1,34%,33.7,0.9,1,34%,34.3,0.9,1,33%,32.7,0.9,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",28%,28.2,2.8,"1,2",22%,22.1,2.7,"1,2",20%,20.2,2.4,1,25%,24.9,3.0,1,25%,24.6,2.6,1,29%,28.8,2.8,1,23%,22.8,2.7,1,25%,25.1,2.6,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",41%,40.6,1.2,"1,2",38%,38.4,1.1,"1,2",38%,38.3,1.2,1,37%,37.1,1.1,1,36%,36.2,1.0,1,34%,33.7,1.0,1,36%,35.6,1.0,1,34%,33.8,0.9,---,.,.,---,.,.,---,.,.
               Female,1,46%,45.6,1.4,1,43%,42.7,1.3,1,41%,41.4,1.3,1,41%,40.6,1.3,1,40%,39.9,1.2,1,41%,41.1,1.1,1,39%,39.1,1.2,1,38%,37.8,1.1,---,.,.,---,.,.,---,.,.
               Male,1,33%,32.6,1.6,1,31%,30.8,1.6,1,31%,30.6,1.6,1,30%,30.2,1.6,1,30%,30.1,1.4,1,26%,26.3,1.3,1,29%,28.7,1.3,1,27%,26.7,1.2,---,.,.,---,.,.,---,.,.
               Less than high school,1,34%,34.2,2.8,1,30%,30.4,3.0,1,28%,28.1,3.0,1,32%,32.1,3.1,1,33%,32.8,3.0,1,28%,28.2,2.6,1,27%,27.4,2.6,1,25%,25.2,2.5,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,28%,28.3,6.9,1,46%,45.9,7.7,1,30%,29.9,7.9,1,29%,29.2,5.9,1,35%,35.5,6.9,1,29%,29.1,6.1,1,23%,22.6,5.2,1,22%,21.8,4.2,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,36%,36.1,3.2,1,26%,26.4,2.9,1,29%,28.7,3.4,1,33%,33.1,3.4,1,33%,33.0,3.3,1,28%,27.9,3.0,1,29%,28.8,3.0,1,26%,26.2,3.1,---,.,.,---,.,.,---,.,.
               High school graduate,1,36%,36.4,1.7,1,35%,34.9,1.7,1,34%,34.4,1.7,1,33%,33.1,1.8,1,34%,34.0,1.5,1,32%,31.6,1.5,1,32%,32.0,1.4,1,27%,27.4,1.3,---,.,.,---,.,.,---,.,.
               At least some college,1,43%,43.4,1.6,1,37%,37.1,1.5,1,37%,36.7,1.4,1,36%,35.6,1.5,1,33%,33.0,1.3,1,34%,34.3,1.2,1,34%,33.9,1.2,1,33%,32.6,1.0,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,49%,48.8,2.4,1,38%,37.7,2.1,1,38%,38.2,2.1,1,38%,37.6,2.1,1,35%,35.4,1.8,1,37%,36.8,1.6,1,38%,37.8,1.7,1,35%,35.0,1.4,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,29.3,2.4,,DNC,.,.,1,31%,30.9,2.2,1,26%,25.8,2.2,1,26%,26.4,2.0,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,37%,37.4,1.2,,DNC,.,.,1,35%,34.8,1.0,1,36%,36.0,1.0,1,34%,34.2,0.9,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,47%,47.3,1.9,1,42%,41.5,1.8,1,39%,38.6,1.9,1,39%,38.7,1.8,1,39%,38.9,1.8,1,39%,38.6,1.7,1,39%,38.9,1.8,1,37%,36.8,1.7,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,32%,32.4,1.6,1,31%,31.5,1.6,1,34%,33.8,1.5,1,32%,32.1,1.5,1,32%,31.5,1.4,1,28%,28.2,1.2,1,28%,27.6,1.2,1,26%,26.4,1.0,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,37%,36.8,1.9,1,38%,37.8,1.9,1,36%,36.3,1.8,1,36%,35.7,1.9,1,35%,34.6,1.5,1,35%,34.7,1.4,1,36%,35.9,1.4,1,34%,34.1,1.1,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.1,2.4,1,29%,28.8,2.1,1,27%,27.2,1.8,1,28%,28.1,1.9,1,DNC,25.3,1.8,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,37%,37.5,1.2,1,38%,38.1,1.2,1,37%,37.3,1.1,1,36%,36.4,1.1,1,DNC,34.3,1.0,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,32%,32.3,5.8,1,18%,17.9,4.8,1,14%,14.4,3.8,1,16%,15.8,3.6,1,19%,18.8,4.2,1,15%,15.0,3.6,1,20%,19.9,5.1,1,10%,10.0,2.0,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,40%,40.2,1.1,1,38%,38.3,1.1,1,38%,37.5,1.1,1,37%,37.0,1.1,1,37%,36.7,1.0,1,35%,35.3,0.9,1,35%,35.4,0.9,1,34%,34.3,0.9,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,21%,20.7,1.7,,DNC,.,.,1,21%,21.3,1.8,,DNC,.,.,1,21%,20.6,2.0,,DNC,.,.,1,DNC,17.7,1.5,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,42%,41.9,1.2,,DNC,.,.,1,40%,40.2,1.2,,DNC,.,.,1,39%,39.1,1.1,,DNC,.,.,1,DNC,36.2,1.0,---,.,.,---,.,.,---,.,.
            STATE:California,1,42%,42.1,0.9,1,40%,40.2,0.9,1,39%,38.8,0.9,1,36%,36.4,0.9,1,39%,38.7,0.9,1,37%,36.5,0.9,1,36%,36.1,0.9,1,36%,36.5,0.9,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",DSU,40.6,6.6,"1,2",DSU,65.4,7.6,"1,2",DSU,45.8,7.2,1,30%,30.0,5.5,1,19%,19.0,5.2,1,21%,20.8,4.6,1,25%,25.3,5.0,1,31%,31.2,5.1,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,52%,51.6,4.1,1,55%,55.0,4.0,1,56%,56.2,4.1,1,61%,60.8,4.3,1,59%,58.5,3.8,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,18.8,5.9,1,DSU,73.7,7.8,1,DSU,52.1,9.1,1,DSU,47.0,8.9,1,DSU,25.4,6.4,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",32%,32.1,3.4,"1,2",28%,28.5,2.9,"1,2",33%,33.1,3.5,1,27%,26.5,3.2,1,35%,34.7,3.9,1,29%,29.0,3.5,1,25%,25.3,3.1,1,32%,31.8,4.2,---,.,.,---,.,.,---,.,.
               White only,"1,2",42%,41.5,0.9,"1,2",39%,39.5,0.9,"1,2",38%,38.3,1.0,1,36%,36.1,1.0,1,38%,38.1,1.0,1,36%,36.0,0.9,1,35%,35.3,0.9,1,36%,36.2,1.0,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,34%,34.0,4.8,1,30%,30.4,5.5,1,32%,31.6,4.8,1,33%,33.3,6.6,1,31%,31.5,3.4,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,38%,37.6,7.1,1,23%,23.4,6.2,1,27%,27.0,5.0,1,DSU,38.4,7.7,1,20%,19.9,5.1,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,19.4,8.6,1,DSU,11.6,8.2,1,DSU,16.5,5.8,1,DSU,24.2,11.2,1,DSU,12.1,7.2,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,32%,32.2,2.0,1,30%,30.4,1.8,1,27%,26.7,1.9,1,25%,24.6,1.8,1,26%,25.7,1.9,1,26%,25.9,1.8,1,26%,25.5,1.7,1,30%,29.8,1.7,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,46%,45.8,1.0,1,45%,44.9,1.0,1,44%,44.0,1.1,1,42%,41.7,1.0,1,45%,45.1,1.1,1,42%,42.2,1.0,1,43%,42.8,1.0,1,41%,40.7,1.0,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",33%,32.5,3.5,"1,2",32%,32.4,3.3,"1,2",36%,36.0,3.7,1,27%,27.3,3.3,1,34%,33.8,4.0,1,29%,28.8,3.6,1,27%,26.6,3.5,1,23%,23.1,3.6,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",45%,45.1,1.1,"1,2",44%,44.2,1.1,"1,2",44%,43.6,1.2,1,42%,41.6,1.1,1,46%,45.6,1.1,1,42%,42.0,1.1,1,43%,42.6,1.1,1,41%,41.1,1.1,---,.,.,---,.,.,---,.,.
               Female,1,48%,48.3,1.2,1,47%,46.7,1.2,1,47%,46.8,1.3,1,44%,43.7,1.2,1,45%,45.0,1.2,1,42%,42.3,1.2,1,42%,42.2,1.1,1,42%,42.1,1.1,---,.,.,---,.,.,---,.,.
               Male,1,36%,36.0,1.3,1,34%,33.9,1.3,1,31%,30.8,1.3,1,29%,29.3,1.3,1,32%,32.4,1.4,1,31%,30.7,1.3,1,30%,29.9,1.3,1,31%,30.6,1.3,---,.,.,---,.,.,---,.,.
               Less than high school,1,30%,29.7,2.4,1,26%,25.6,2.1,1,24%,23.5,2.3,1,20%,20.2,2.1,1,22%,21.9,2.4,1,24%,24.2,2.4,1,21%,21.1,2.0,1,25%,25.4,2.2,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,25%,25.3,3.2,1,20%,19.5,2.7,1,20%,19.7,2.8,1,15%,15.0,2.5,1,18%,17.5,2.7,1,23%,22.8,3.4,1,16%,16.0,2.6,1,24%,23.7,2.9,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,36%,36.0,3.7,1,34%,34.2,3.4,1,30%,30.2,3.6,1,27%,27.2,3.3,1,27%,27.2,3.7,1,26%,25.9,3.2,1,28%,27.6,3.2,1,28%,28.0,3.3,---,.,.,---,.,.,---,.,.
               High school graduate,1,35%,35.3,1.7,1,35%,35.1,1.8,1,32%,31.8,1.9,1,31%,30.5,1.8,1,33%,32.8,2.0,1,29%,29.3,1.9,1,31%,31.3,1.9,1,32%,32.0,1.8,---,.,.,---,.,.,---,.,.
               At least some college,1,46%,46.2,1.2,1,45%,45.2,1.2,1,44%,43.9,1.2,1,41%,40.8,1.2,1,42%,42.5,1.2,1,40%,40.4,1.1,1,40%,40.0,1.1,1,39%,39.3,1.0,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,49%,49.1,1.6,1,49%,49.0,1.6,1,49%,48.7,1.7,1,45%,44.5,1.6,1,46%,46.3,1.5,1,44%,44.0,1.4,1,47%,47.3,1.5,1,44%,43.6,1.3,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.2,2.2,1,35%,34.6,2.3,1,33%,33.0,1.9,1,32%,32.1,2.4,1,29%,28.8,1.9,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,38%,38.0,1.0,1,40%,40.4,1.1,1,38%,37.9,1.0,1,38%,38.2,1.0,1,39%,38.6,1.0,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,47%,47.1,1.4,1,46%,46.2,1.4,1,43%,42.6,1.5,1,40%,40.3,1.4,1,43%,43.4,1.5,1,40%,39.7,1.5,1,38%,38.0,1.5,1,42%,42.3,1.7,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,38%,37.7,1.4,1,35%,35.5,1.4,1,34%,33.7,1.4,1,33%,32.6,1.4,1,36%,36.0,1.4,1,32%,32.4,1.4,1,33%,33.2,1.3,1,31%,30.7,1.2,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,41%,40.6,1.9,1,38%,37.7,1.8,1,41%,40.6,2.1,1,36%,35.8,1.9,1,35%,35.1,1.9,1,38%,37.7,1.7,1,37%,37.3,1.8,1,36%,35.9,1.5,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,33%,32.8,2.7,1,30%,29.8,2.4,1,33%,33.1,2.5,1,32%,32.3,2.2,,DNC,.,.,1,DNC,31.2,2.2,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,41%,40.8,1.1,1,38%,37.9,1.0,1,41%,41.1,1.1,1,38%,38.1,1.0,,DNC,.,.,1,DNC,36.9,1.0,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,21%,21.2,4.6,1,23%,23.1,4.4,1,15%,14.6,3.1,1,23%,22.9,4.2,1,20%,19.7,3.7,1,9%,8.6,1.9,1,22%,21.7,4.1,1,12%,11.6,1.9,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,43%,43.3,0.9,1,41%,41.2,0.9,1,40%,40.4,1.0,1,38%,37.6,0.9,1,40%,40.0,1.0,1,39%,38.6,0.9,1,37%,37.1,0.9,1,38%,38.5,0.9,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,1,28%,28.0,1.9,1,26%,25.8,1.8,,DNC,.,.,1,22%,21.7,1.7,,DNC,.,.,1,22%,21.6,1.8,,DNC,.,.,1,DNC,22.9,1.8,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,1,46%,46.2,1.0,1,44%,44.0,1.0,,DNC,.,.,1,41%,40.5,1.1,,DNC,.,.,1,40%,40.4,1.0,,DNC,.,.,1,DNC,39.5,1.0,---,.,.,---,.,.,---,.,.
            STATE:Colorado,1,46%,46.2,1.3,1,47%,47.5,1.3,1,47%,47.0,1.3,1,43%,43.1,1.3,1,41%,41.5,0.9,1,45%,44.6,0.9,1,42%,42.3,0.9,1,41%,40.6,0.8,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",DSU,29.3,8.2,"1,2",DSU,30.0,10.0,"1,2",DSU,35.8,10.6,1,DSU,37.4,9.0,1,21%,21.4,5.0,1,41%,41.4,6.8,1,34%,33.8,6.5,1,24%,23.8,4.5,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,51.2,7.5,1,DSU,43.1,9.7,1,DSU,75.2,7.0,1,DSU,65.8,8.4,1,64%,64.4,5.9,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,37.2,0.0,1,DSU,33.6,19.2,1,DSU,41.3,11.7,1,DSU,63.4,12.3,1,DSU,27.0,16.8,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",38%,38.1,7.2,"1,2",DSU,40.3,7.2,"1,2",37%,37.5,6.7,1,41%,40.7,6.9,1,28%,27.8,5.5,1,29%,29.4,5.3,1,38%,37.6,4.4,1,33%,33.3,5.0,---,.,.,---,.,.,---,.,.
               White only,"1,2",47%,47.2,1.4,"1,2",48%,47.9,1.4,"1,2",48%,48.1,1.4,1,45%,44.7,1.3,1,43%,42.9,1.0,1,45%,45.4,1.0,1,43%,42.9,1.0,1,42%,42.0,0.8,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,42.0,8.2,1,33%,33.3,5.7,1,41%,41.3,6.6,1,39%,38.8,7.3,1,45%,44.6,6.6,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,48.8,10.5,1,DSU,40.1,9.7,1,DSU,42.0,9.1,1,DSU,48.7,10.5,1,DSU,48.7,8.4,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,16.3,12.9,1,DSU,17.1,14.1,1,DSU,91.2,8.6,1,DSU,58.3,16.1,1,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,31%,30.8,3.3,1,42%,42.2,3.7,1,36%,36.2,3.7,1,31%,31.3,3.6,1,28%,28.3,2.4,1,36%,36.2,2.7,1,31%,30.5,2.3,1,28%,27.6,2.0,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,49%,49.0,1.4,1,49%,48.5,1.4,1,49%,49.2,1.4,1,45%,45.0,1.3,1,44%,44.2,1.0,1,47%,46.5,1.0,1,45%,44.6,1.0,1,43%,43.4,0.9,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",39%,38.7,7.3,"1,2",DSU,42.9,7.7,"1,2",36%,35.9,6.7,1,39%,38.7,6.9,1,28%,28.2,5.7,1,29%,29.1,5.4,1,38%,38.1,4.6,1,36%,35.9,5.2,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",49%,48.7,1.5,"1,2",49%,48.7,1.4,"1,2",49%,49.4,1.4,1,46%,45.6,1.4,1,45%,45.2,1.0,1,47%,46.8,1.0,1,45%,44.7,1.0,1,43%,43.5,0.9,---,.,.,---,.,.,---,.,.
               Female,1,54%,54.1,1.8,1,55%,54.7,1.7,1,54%,53.8,1.7,1,50%,50.3,1.7,1,50%,50.0,1.2,1,52%,52.3,1.2,1,50%,50.2,1.1,1,48%,48.0,1.0,---,.,.,---,.,.,---,.,.
               Male,1,38%,38.1,1.9,1,40%,40.5,1.9,1,40%,40.1,2.0,1,35%,35.4,1.8,1,33%,33.1,1.3,1,37%,37.0,1.3,1,34%,34.4,1.3,1,33%,33.5,1.2,---,.,.,---,.,.,---,.,.
               Less than high school,1,33%,32.9,4.8,1,44%,44.4,4.7,1,40%,39.9,5.1,1,25%,25.1,4.0,1,24%,24.2,3.5,1,31%,30.9,3.5,1,26%,26.4,3.2,1,26%,25.8,2.7,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,DSU,21.8,7.1,1,32%,32.3,8.2,1,30%,29.5,7.2,1,23%,23.1,7.2,1,20%,20.4,4.8,1,20%,20.3,4.1,1,17%,16.7,4.3,1,20%,19.7,3.7,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,39%,39.0,6.1,1,50%,50.4,5.6,1,46%,45.9,6.7,1,26%,26.3,4.1,1,29%,28.7,5.3,1,40%,39.9,4.9,1,36%,35.9,4.6,1,31%,30.6,3.6,---,.,.,---,.,.,---,.,.
               High school graduate,1,44%,43.8,2.6,1,43%,43.3,2.6,1,42%,41.6,2.8,1,39%,39.1,2.8,1,38%,37.5,1.9,1,38%,38.5,1.8,1,40%,40.3,1.8,1,33%,33.0,1.5,---,.,.,---,.,.,---,.,.
               At least some college,1,46%,46.3,1.7,1,47%,47.0,1.7,1,46%,46.4,1.7,1,45%,44.5,1.6,1,44%,43.6,1.1,1,46%,46.2,1.1,1,43%,42.7,1.1,1,43%,42.8,0.9,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,48%,47.7,2.2,1,49%,49.0,2.3,1,49%,49.3,2.2,1,47%,47.1,2.1,1,46%,45.5,1.4,1,50%,49.8,1.4,1,46%,45.9,1.4,1,46%,45.6,1.1,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,36%,35.7,2.9,,DNC,.,.,1,36%,36.4,2.1,1,39%,38.9,2.9,1,31%,31.5,1.8,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,45%,44.8,1.4,,DNC,.,.,1,47%,46.6,1.0,1,43%,43.4,1.0,1,43%,42.7,0.9,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,53%,53.2,2.1,1,54%,54.4,2.1,1,53%,53.2,2.2,1,47%,46.7,2.0,1,46%,45.6,1.6,1,48%,48.1,1.6,1,48%,48.0,1.6,1,43%,42.9,1.5,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,42%,41.8,2.1,1,41%,41.4,2.1,1,43%,42.9,2.0,1,42%,41.5,2.0,1,39%,39.3,1.4,1,41%,41.0,1.3,1,39%,38.7,1.3,1,39%,38.9,1.1,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,41%,41.1,2.7,1,45%,45.4,2.7,1,43%,42.7,3.0,1,39%,39.3,2.7,1,38%,38.0,1.9,1,44%,44.3,1.8,1,38%,38.2,1.6,1,39%,39.4,1.3,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,42%,42.4,3.8,1,37%,37.3,3.4,,DNC,.,.,1,38%,38.3,2.1,,DNC,.,.,1,DNC,32.3,1.8,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,48%,47.9,1.6,1,45%,44.8,1.5,,DNC,.,.,1,47%,47.1,1.1,,DNC,.,.,1,DNC,43.7,0.9,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,30%,30.4,9.0,1,31%,31.4,8.5,1,29%,28.9,9.2,1,41%,41.1,8.0,1,25%,25.1,5.3,1,17%,16.8,4.6,1,27%,26.7,5.3,1,16%,16.4,3.4,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,47%,47.3,1.3,1,48%,48.1,1.3,1,48%,47.9,1.4,1,44%,44.0,1.3,1,42%,42.4,0.9,1,46%,46.1,0.9,1,43%,43.4,0.9,1,42%,42.1,0.8,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,34%,33.6,2.9,,DNC,.,.,1,22%,22.0,2.3,1,28%,27.5,2.2,1,26%,25.6,2.5,,DNC,.,.,1,DNC,22.8,2.0,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,51%,51.1,1.5,,DNC,.,.,1,49%,48.6,1.5,1,46%,45.5,1.1,1,49%,49.0,1.0,,DNC,.,.,1,DNC,45.1,0.9,---,.,.,---,.,.,---,.,.
            STATE:Connecticut,1,45%,44.7,1.1,1,43%,43.2,1.2,1,41%,41.5,0.9,1,40%,40.2,0.7,1,40%,40.0,0.8,1,41%,41.0,0.8,1,39%,39.4,0.8,1,37%,37.1,0.7,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",DSU,50.4,11.9,"1,2",DSU,35.1,7.1,"1,2",DSU,52.3,10.8,1,DSU,40.9,7.9,1,DSU,39.8,10.3,1,DSU,41.2,9.8,1,DSU,18.9,7.9,1,DSU,19.6,6.0,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
