Focus area: 21-Oral Health - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,1998 raw value,1998 se,1999 footnote,1999 data,1999 raw value,1999 se,2000 footnote,2000 data,2000 raw value,2000 se,2001 footnote,2001 data,2001 raw value,2001 se,2002 footnote,2002 data,2002 raw value,2002 se,2003 footnote,2003 data,2003 raw value,2003 se,2004 footnote,2004 data,2004 raw value,2004 se,2005 footnote,2005 data,2005 raw value,2005 se,2006 footnote,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,43.3,22.4,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,24.0,20.0,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,19.0,13.8,,DNC,.,.,1,DSU,18.2,11.1,,DNC,.,.,1,11%,10.6,1.3,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",14%,14.2,3.0,,DNC,.,.,,DNC,.,.,1,14%,14.4,2.1,,DNC,.,.,1,15%,14.8,1.9,,DNC,.,.,1,DSU,13.4,12.4,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,19.5,13.3,,DNC,.,.,1,DSU,56.4,19.8,,DNC,.,.,1,DSU,16.4,15.0,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,8.8,8.8,,DNC,.,.,1,DSU,55.1,29.2,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,17%,17.4,5.2,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,34.8,13.1,,DNC,.,.,,DNC,.,.,1,DSU,33.0,8.1,,DNC,.,.,1,DSU,16.5,5.8,,DNC,.,.,1,10%,10.3,1.3,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,14%,14.1,3.0,,DNC,.,.,,DNC,.,.,1,13%,12.6,2.0,,DNC,.,.,1,15%,15.4,2.0,,DNC,.,.,1,DSU,26.3,21.7,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,77.6,24.6,,DNC,.,.,,DNC,.,.,1,DSU,22.6,16.5,,DNC,.,.,1,DSU,18.3,11.1,,DNC,.,.,1,10%,10.1,1.3,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",13%,13.3,3.0,,DNC,.,.,,DNC,.,.,1,12%,12.3,2.0,,DNC,.,.,1,15%,15.4,2.0,,DNC,.,.,1,12%,12.1,1.8,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,23%,22.6,4.7,,DNC,.,.,,DNC,.,.,1,17%,16.9,2.6,,DNC,.,.,1,18%,17.8,2.7,,DNC,.,.,1,10%,9.8,1.8,---,.,.,---,.,.
               Female,,DNC,.,.,1,DSU,8.7,3.5,,DNC,.,.,,DNC,.,.,1,12%,11.5,3.1,,DNC,.,.,1,13%,12.8,2.5,,DNC,.,.,1,20%,20.0,5.2,---,.,.,---,.,.
               Male,,DNC,.,.,1,DSU,25.5,12.0,,DNC,.,.,,DNC,.,.,1,DSU,48.5,9.9,,DNC,.,.,1,DSU,35.3,8.5,,DNC,.,.,1,18%,18.0,3.0,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,26%,26.5,6.5,,DNC,.,.,,DNC,.,.,1,17%,16.5,3.6,,DNC,.,.,1,17%,17.0,3.5,,DNC,.,.,1,6%,6.4,1.3,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,DSU,8.6,2.9,,DNC,.,.,,DNC,.,.,1,10%,9.5,2.2,,DNC,.,.,1,11%,11.4,2.1,,DNC,.,.,1,14%,14.2,2.5,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,23.7,4.3,,DNC,.,.,1,9%,9.3,1.4,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,13%,12.9,2.0,,DNC,.,.,1,11%,10.7,1.2,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,18%,17.5,2.5,,DNC,.,.,,DNC,.,.,1,15%,14.7,1.7,,DNC,.,.,1,9%,9.2,1.2,,DNC,.,.,1,DSU,18.1,15.5,---,.,.,---,.,.
            STATE:Connecticut,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,26.0,27.2,,DNC,.,.,1,DSU,27.9,22.5,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,20.6,6.8,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,19.1,9.2,,DNC,.,.,1,DSU,8.7,4.5,,DNC,.,.,1,10%,10.2,1.2,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",17%,17.1,2.6,,DNC,.,.,,DNC,.,.,1,14%,14.5,1.8,,DNC,.,.,1,9%,9.0,1.3,,DNC,.,.,1,DSU,8.6,6.8,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,46.4,31.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,72.2,28.4,,DNC,.,.,1,DSU,10.4,11.5,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,14.5,5.1,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,4.4,4.7,,DNC,.,.,,DNC,.,.,1,DSU,28.7,11.1,,DNC,.,.,1,DSU,6.4,4.5,,DNC,.,.,1,11%,10.5,1.2,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,18%,17.7,2.6,,DNC,.,.,,DNC,.,.,1,14%,14.0,1.8,,DNC,.,.,1,9%,9.3,1.2,,DNC,.,.,1,DSU,18.8,6.7,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,24.7,15.3,,DNC,.,.,,DNC,.,.,1,DSU,19.1,9.2,,DNC,.,.,1,DSU,8.7,4.5,,DNC,.,.,1,10%,10.2,1.2,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",17%,17.3,2.6,,DNC,.,.,,DNC,.,.,1,14%,14.0,1.8,,DNC,.,.,1,9%,9.1,1.3,,DNC,.,.,1,13%,12.9,1.7,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,16%,16.2,3.2,,DNC,.,.,,DNC,.,.,1,16%,15.6,2.3,,DNC,.,.,1,10%,10.3,1.7,,DNC,.,.,1,8%,8.0,1.5,---,.,.,---,.,.
               Female,,DNC,.,.,1,19%,19.4,4.2,,DNC,.,.,,DNC,.,.,1,13%,13.4,2.8,,DNC,.,.,1,8%,7.8,1.7,,DNC,.,.,1,32%,32.5,5.1,---,.,.,---,.,.
               Male,,DNC,.,.,1,38%,37.7,8.1,,DNC,.,.,,DNC,.,.,1,44%,44.4,7.1,,DNC,.,.,1,29%,28.6,6.8,,DNC,.,.,1,16%,16.2,2.6,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,16%,16.4,4.0,,DNC,.,.,,DNC,.,.,1,14%,13.7,2.9,,DNC,.,.,1,15%,14.6,2.6,,DNC,.,.,1,5%,4.8,1.2,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,11%,11.2,2.9,,DNC,.,.,,DNC,.,.,1,7%,7.4,1.7,,DNC,.,.,1,3%,3.2,0.9,,DNC,.,.,1,15%,15.0,3.0,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,15%,14.5,3.0,,DNC,.,.,1,9%,9.2,1.2,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,8%,7.6,1.3,,DNC,.,.,1,15%,15.4,1.8,---,.,.,---,.,.
               Persons without disabilities,1,19%,18.8,2.8,1,25%,24.5,3.1,,DNC,.,.,,DNC,.,.,1,22%,21.7,2.3,,DNC,.,.,1,22%,21.9,2.1,,DNC,.,.,1,DSU,100.0,0.0,---,.,.,---,.,.
            STATE:Delaware,"2,1",DSU,0.0,0.0,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,36.9,23.4,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,15.9,7.3,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,28.3,9.1,,DNC,.,.,1,39%,39.2,7.8,,DNC,.,.,1,16%,15.7,1.9,---,.,.,---,.,.
               Black or African American only,"2,1",19%,18.7,3.0,"2,1",24%,24.3,3.3,,DNC,.,.,,DNC,.,.,1,22%,21.8,2.4,,DNC,.,.,1,20%,19.7,2.2,,DNC,.,.,1,DSU,9.1,7.8,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,46.9,20.6,,DNC,.,.,1,DSU,37.0,23.8,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,58.3,27.2,,DNC,.,.,1,DSU,40.4,25.8,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,29.5,20.3,---,.,.,---,.,.
                  Black or African American; White,1,DSU,0.0,0.0,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,15%,15.3,1.8,---,.,.,---,.,.
               Hispanic or Latino,1,19%,19.0,2.9,1,25%,24.7,3.2,,DNC,.,.,,DNC,.,.,1,22%,22.1,2.3,,DNC,.,.,1,22%,22.2,2.2,,DNC,.,.,1,DSU,15.9,7.3,---,.,.,---,.,.
               Not Hispanic or Latino,"2,1",DSU,24.0,10.1,"2,1",DSU,31.2,10.2,,DNC,.,.,,DNC,.,.,1,DSU,29.2,9.4,,DNC,.,.,1,40%,40.1,7.9,,DNC,.,.,1,16%,15.7,1.9,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","2,1",19%,19.0,3.0,"2,1",24%,24.3,3.4,,DNC,.,.,,DNC,.,.,1,22%,21.9,2.4,,DNC,.,.,1,20%,19.8,2.2,,DNC,.,.,1,17%,17.4,2.5,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",1,19%,19.1,3.4,1,28%,27.9,4.3,,DNC,.,.,,DNC,.,.,1,25%,24.5,3.1,,DNC,.,.,1,25%,24.6,2.9,,DNC,.,.,1,13%,13.1,2.6,---,.,.,---,.,.
               Female,1,18%,18.4,4.8,1,20%,20.0,4.4,,DNC,.,.,,DNC,.,.,1,18%,18.1,3.3,,DNC,.,.,1,19%,18.8,3.1,,DNC,.,.,1,44%,43.7,8.0,---,.,.,---,.,.
               Male,1,29%,28.6,7.2,1,41%,40.8,7.0,,DNC,.,.,,DNC,.,.,1,48%,48.4,6.9,,DNC,.,.,1,47%,46.9,9.0,,DNC,.,.,1,17%,16.7,2.9,---,.,.,---,.,.
               Less than high school,1,21%,20.6,5.0,1,33%,32.8,6.1,,DNC,.,.,,DNC,.,.,1,28%,28.0,4.1,,DNC,.,.,1,25%,25.1,3.4,,DNC,.,.,1,8%,8.1,1.9,---,.,.,---,.,.
               High school graduate,1,13%,13.3,3.6,1,DSU,12.1,3.8,,DNC,.,.,,DNC,.,.,1,9%,8.9,2.2,,DNC,.,.,1,12%,11.8,2.4,,DNC,.,.,1,24%,23.7,4.2,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,30.7,4.6,,DNC,.,.,1,12%,12.0,1.7,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,18%,18.1,2.4,,DNC,.,.,1,18%,17.8,2.9,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,25%,25.1,5.6,,DNC,.,.,,DNC,.,.,1,10%,9.7,2.1,,DNC,.,.,1,18%,17.7,2.7,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
            STATE:District of Columbia,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,24.3,4.1,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,13%,13.2,3.2,,DNC,.,.,1,24%,23.5,3.9,,DNC,.,.,1,DSU,2.6,1.3,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",DSU,13.3,8.9,,DNC,.,.,,DNC,.,.,1,DSU,1.9,1.9,,DNC,.,.,1,DSU,2.5,1.3,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,38.4,33.5,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,18%,18.4,3.0,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,25%,25.4,5.6,,DNC,.,.,,DNC,.,.,1,9%,9.3,2.1,,DNC,.,.,1,18%,18.1,2.8,,DNC,.,.,1,24%,24.4,4.1,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",30%,30.2,6.8,,DNC,.,.,,DNC,.,.,1,13%,12.6,3.1,,DNC,.,.,1,24%,23.9,3.9,,DNC,.,.,1,DSU,2.8,1.4,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,13.3,8.9,,DNC,.,.,,DNC,.,.,1,DSU,2.0,2.0,,DNC,.,.,1,DSU,2.7,1.5,,DNC,.,.,1,16%,16.2,3.2,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,DSU,28.9,7.8,,DNC,.,.,,DNC,.,.,1,11%,11.0,3.0,,DNC,.,.,1,21%,20.7,3.8,,DNC,.,.,1,20%,19.8,5.2,---,.,.,---,.,.
               Female,,DNC,.,.,1,DSU,19.3,7.1,,DNC,.,.,,DNC,.,.,1,DSU,7.6,2.9,,DNC,.,.,1,14%,13.7,3.9,,DNC,.,.,1,DSU,34.5,10.3,---,.,.,---,.,.
               Male,,DNC,.,.,1,DSU,33.0,10.3,,DNC,.,.,,DNC,.,.,1,DSU,21.9,7.5,,DNC,.,.,1,DSU,31.4,8.3,,DNC,.,.,1,28%,27.7,5.7,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,DSU,34.1,12.9,,DNC,.,.,,DNC,.,.,1,DSU,12.0,5.3,,DNC,.,.,1,21%,21.4,5.8,,DNC,.,.,1,9%,8.7,2.6,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,DSU,15.5,6.1,,DNC,.,.,,DNC,.,.,1,DSU,4.7,2.0,,DNC,.,.,1,12%,12.3,3.1,,DNC,.,.,1,21%,21.0,5.8,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,10.9,4.8,,DNC,.,.,1,16%,16.5,4.7,,DNC,.,.,1,16%,16.3,3.2,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,8%,7.7,2.2,,DNC,.,.,1,19%,19.0,3.5,,DNC,.,.,1,16%,15.8,1.2,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,16%,15.9,1.6,,DNC,.,.,,DNC,.,.,1,18%,18.0,1.6,,DNC,.,.,1,17%,16.6,1.5,,DNC,.,.,1,DSU,37.7,20.1,---,.,.,---,.,.
            STATE:Florida,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,19.5,19.1,,DNC,.,.,1,DSU,37.6,21.6,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,22.9,19.8,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,21%,21.3,4.9,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,25.7,6.5,,DNC,.,.,1,34%,33.8,6.8,,DNC,.,.,1,14%,14.3,1.2,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",16%,16.1,1.6,,DNC,.,.,,DNC,.,.,1,16%,16.0,1.5,,DNC,.,.,1,15%,15.2,1.5,,DNC,.,.,1,DSU,39.6,17.6,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,52.6,27.1,,DNC,.,.,1,DSU,9.3,8.7,,DNC,.,.,1,DSU,49.3,21.1,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,33.3,31.4,,DNC,.,.,1,DSU,10.9,11.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,20%,20.4,3.9,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,18%,17.9,4.8,,DNC,.,.,,DNC,.,.,1,27%,26.8,7.9,,DNC,.,.,1,DSU,15.6,5.1,,DNC,.,.,1,15%,15.1,1.2,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,16%,15.5,1.6,,DNC,.,.,,DNC,.,.,1,17%,16.8,1.6,,DNC,.,.,1,17%,16.8,1.6,,DNC,.,.,1,21%,21.1,5.0,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,9.4,4.7,,DNC,.,.,,DNC,.,.,1,24%,24.0,6.6,,DNC,.,.,1,33%,33.0,6.8,,DNC,.,.,1,14%,14.0,1.2,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",16%,16.0,1.7,,DNC,.,.,,DNC,.,.,1,16%,15.8,1.6,,DNC,.,.,1,15%,15.4,1.6,,DNC,.,.,1,17%,17.2,1.6,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,15%,15.4,2.0,,DNC,.,.,,DNC,.,.,1,18%,18.3,2.2,,DNC,.,.,1,17%,17.4,2.0,,DNC,.,.,1,14%,14.3,1.8,---,.,.,---,.,.
               Female,,DNC,.,.,1,16%,16.4,2.5,,DNC,.,.,,DNC,.,.,1,18%,17.6,2.5,,DNC,.,.,1,16%,15.7,2.2,,DNC,.,.,1,43%,43.0,4.5,---,.,.,---,.,.
               Male,,DNC,.,.,1,31%,31.1,5.1,,DNC,.,.,,DNC,.,.,1,37%,36.6,5.6,,DNC,.,.,1,47%,46.8,5.7,,DNC,.,.,1,19%,19.5,2.3,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,18%,18.0,2.9,,DNC,.,.,,DNC,.,.,1,20%,19.7,2.9,,DNC,.,.,1,16%,15.7,2.3,,DNC,.,.,1,8%,7.5,1.1,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,9%,9.2,1.7,,DNC,.,.,,DNC,.,.,1,12%,11.6,1.7,,DNC,.,.,1,9%,9.4,1.5,,DNC,.,.,1,22%,22.0,2.4,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,23%,22.8,3.3,,DNC,.,.,1,13%,13.3,1.3,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,14%,14.3,1.6,,DNC,.,.,1,19%,18.5,1.6,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,28%,28.4,3.5,,DNC,.,.,,DNC,.,.,1,30%,29.8,2.5,,DNC,.,.,1,26%,26.3,2.5,,DNC,.,.,1,DSU,49.6,18.0,---,.,.,---,.,.
            STATE:Georgia,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,22.1,4.2,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,32%,32.0,5.5,,DNC,.,.,1,27%,27.3,5.6,,DNC,.,.,1,16%,16.1,1.6,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",28%,28.2,3.8,,DNC,.,.,,DNC,.,.,1,29%,28.8,2.8,,DNC,.,.,1,26%,26.0,2.8,,DNC,.,.,1,DSU,36.0,20.2,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,33.8,25.1,,DNC,.,.,1,DSU,26.8,14.2,,DNC,.,.,1,DSU,42.2,22.0,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,28.4,17.4,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,27.9,13.9,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,33.3,27.2,,DNC,.,.,,DNC,.,.,1,DSU,82.5,14.9,,DNC,.,.,1,DSU,31.8,26.8,,DNC,.,.,1,18%,18.1,1.6,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,28%,28.3,3.6,,DNC,.,.,,DNC,.,.,1,29%,28.8,2.5,,DNC,.,.,1,26%,26.4,2.5,,DNC,.,.,1,22%,21.6,4.3,---,.,.,---,.,.
