Focus area:14-Immunization and Infectious Diseases - 03-17-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,footnote,1998,raw  ,se  ,footnote,1999,raw  ,se  ,footnote,2000,raw  ,se  ,footnote,2001,raw  ,se  ,footnote,2002,raw  ,se  ,footnote,2003,raw  ,se  ,footnote,2004,raw  ,se  ,footnote,2005,raw  ,se  ,footnote,2006,raw  ,se  ,2007,raw,se,2008,raw,se
              STATE:Minnesota,,DNA,.,.,,---,.,.,,---,.,.,,76%,76.3,2.70,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,77%,76.7,2.96,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Mississippi,,DNA,.,.,,---,.,.,,---,.,.,,80%,80.2,2.65,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,79%,78.6,4.23,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,82%,81.8,3.57,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Missouri,,DNA,.,.,,---,.,.,,---,.,.,,76%,75.5,2.81,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,78%,78.4,2.91,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Montana,,DNA,.,.,,---,.,.,,---,.,.,,78%,77.9,2.55,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,78%,77.6,2.70,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Nebraska,,DNA,.,.,,---,.,.,,---,.,.,,79%,78.9,2.50,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,82%,81.7,2.65,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Nevada,,DNA,.,.,,---,.,.,,---,.,.,,68%,68.1,3.01,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,69%,68.6,4.39,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,70%,69.7,4.29,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:New Hampshire,,DNA,.,.,,---,.,.,,---,.,.,,78%,77.6,2.45,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,78%,77.8,2.60,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:New Jersey,,DNA,.,.,,---,.,.,,---,.,.,,73%,73.1,2.81,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,80%,80.3,4.49,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,76%,75.5,3.47,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:New Mexico,,DNA,.,.,,---,.,.,,---,.,.,,63%,63.2,2.81,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,62%,61.5,3.67,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,64%,63.6,5.00,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:New York,,DNA,.,.,,---,.,.,,---,.,.,,77%,77.1,1.94,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,81%,81.0,3.47,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,81%,81.1,2.35,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:North Carolina,,DNA,.,.,,---,.,.,,---,.,.,,80%,80.4,2.60,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,82%,82.3,2.91,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:North Dakota,,DNA,.,.,,---,.,.,,---,.,.,,79%,78.7,2.50,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,80%,80.0,2.60,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Ohio,,DNA,.,.,,---,.,.,,---,.,.,,71%,71.2,2.14,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,71%,71.4,2.45,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Oklahoma,,DNA,.,.,,---,.,.,,---,.,.,,70%,70.0,2.91,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,71%,71.0,3.47,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Oregon,,DNA,.,.,,---,.,.,,---,.,.,,69%,68.5,3.11,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,69%,68.9,3.62,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Pennsylvania,,DNA,.,.,,---,.,.,,---,.,.,,79%,78.8,2.14,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,82%,82.2,2.45,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Rhode Island,,DNA,.,.,,---,.,.,,---,.,.,,82%,81.7,2.19,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,83%,83.0,4.80,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,83%,83.0,2.50,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:South Carolina,,DNA,.,.,,---,.,.,,---,.,.,,79%,78.7,2.65,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,78%,78.3,5.00,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,82%,81.9,2.86,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:South Dakota,,DNA,.,.,,---,.,.,,---,.,.,,77%,76.5,2.96,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,77%,77.0,3.16,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Tennessee,,DNA,.,.,,---,.,.,,---,.,.,,80%,79.7,1.84,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,70%,69.9,4.03,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,83%,82.6,2.14,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Texas,,DNA,.,.,,---,.,.,,---,.,.,,70%,69.7,2.04,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,73%,73.0,2.65,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,69%,69.0,3.42,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Utah,,DNA,.,.,,---,.,.,,---,.,.,,66%,66.1,3.01,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,66%,66.0,3.27,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Vermont,,DNA,.,.,,---,.,.,,---,.,.,,80%,80.3,2.35,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,80%,80.0,2.45,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
              STATE:Virginia,,DNA,.,.,,---,.,.,,---,.,.,,75%,74.9,3.42,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,,DSU,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,,79%,79.2,3.62,,---,.,.,,---,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
